_PRODUCT_UPC_CODE	_PRODUCT_DESCRIPTION_EN	_PRODUCT_DESCRIPTION_HK	_PRODUCT_LONG_DESCRIPTION_EN	_PRODUCT_LONG_DESCRIPTION_HK	_SERVICE_TYPE_CODE	_SERVICE_TYPE_NAME_EN	_SERVICE_TYPE_NAME_HK	_SERVICE_TYPE_NAME_CN	_ZONE_CODE	_BRAND_CODE	_BRAND_DESCRIPTION_EN	_BRAND_DESCRIPTION_HK	_PRODUCT_TEMPLATE_CODE	_DESTINATION_CODE	_DESTINATION_NAME_EN	_DESTINATION_NAME_HK	_DESTINATION_NAME_CN	_WEIGHT_LIMIT	_WEIGHT_FROM	_WEIGHT_TO	_TRACKING_LEVEL	_PRODUCT_RETAIL_PRICE_HKD	_PRODUCT_RETAIL_PRICE_USD	_PRODUCT_CREATED_DATE
AIR_PAR_1_NZ_NZ_0.001_1.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 0.001kg to 1.000kg	空郵包裹 至 新西蘭, 0.001kg 至 1.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	0.001	1.000	2	277.00	35.5128205128205128	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_1.001_1.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 1.001kg to 1.500kg	空郵包裹 至 新西蘭, 1.001kg 至 1.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	1.001	1.500	2	312.00	40.0000000000000000	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_1.501_2.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 1.501kg to 2.000kg	空郵包裹 至 新西蘭, 1.501kg 至 2.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	1.501	2.000	2	347.00	44.4871794871794872	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_2.001_2.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 2.001kg to 2.500kg	空郵包裹 至 新西蘭, 2.001kg 至 2.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	2.001	2.500	2	382.00	48.9743589743589744	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_2.501_3.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 2.501kg to 3.000kg	空郵包裹 至 新西蘭, 2.501kg 至 3.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	2.501	3.000	2	417.00	53.4615384615384615	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_3.001_3.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 3.001kg to 3.500kg	空郵包裹 至 新西蘭, 3.001kg 至 3.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	3.001	3.500	2	452.00	57.9487179487179487	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_3.501_4.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 3.501kg to 4.000kg	空郵包裹 至 新西蘭, 3.501kg 至 4.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	3.501	4.000	2	487.00	62.4358974358974359	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_4.001_4.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 4.001kg to 4.500kg	空郵包裹 至 新西蘭, 4.001kg 至 4.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	4.001	4.500	2	522.00	66.9230769230769231	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_4.501_5.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 4.501kg to 5.000kg	空郵包裹 至 新西蘭, 4.501kg 至 5.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	4.501	5.000	2	557.00	71.4102564102564103	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_5.001_5.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 5.001kg to 5.500kg	空郵包裹 至 新西蘭, 5.001kg 至 5.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	5.001	5.500	2	582.00	74.6153846153846154	2021-03-22 09:03:21
