_BRAND_CODE	_BRAND_DESCRIPTION_EN	_BRAND_DESCRIPTION_HK	_PRODUCT_TEMPLATE_CODE	_PRODUCT_TEMPLATE_DESC_EN	_PRODUCT_TEMPLATE_DESC_HK	_PRIMARY_CATEGORY_CODE	_PRIMARY_CATEGORY_DESC_EN	_PRIMARY_CATEGORY_DESC_HK	_PRODUCT_IMAGE_EN	_PRODUCT_IMAGE_HK	_PRODUCT_CREATED_DATE	_PRODUCT_DESCRIPTION_EN	_PRODUCT_DESCRIPTION_HK	_PRODUCT_LONG_DESCRIPTION_EN	_PRODUCT_LONG_DESCRIPTION_HK	_TAG_CODE_A	_TAG_CODE_B	_TAG_CODE_C	_TAG_CODE_D	_TAG_CODE_E	_PRODUCT_MARKDOWN_PRICE_HKD	_PRODUCT_MARKDOWN_PRICE_USD	_PRODUCT_RETAIL_PRICE_HKD	_PRODUCT_RETAIL_PRICE_USD	_PRODUCT_STATUS_CODE	_PRODUCT_UPC_CODE
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AOPAD	Packing decorations	包裝裝飾物	30833030_1.jpg	30833030_1.jpg	03/07/20 12:00 AM	High Class See through Rose Packaging box (Leather paper)	高檔花盒透明玫瑰花禮盒 ( 高質皮紙) 	High Class See through Rose Packaging box, with 1 layer draw for earrings. Great for gifts presentation 	高檔透明玫瑰花禮盒 有一層櫃桶裝耳環送禮一流	Tag18					50	6.4	50	6.4	ACT01	30833030
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AOPAD	Packing decorations	包裝裝飾物	30833031_1.jpg	30833031_1.jpg	07/18/20 12:00 AM	High Class See through Rose Packaging box ( Plastic)	高檔花盒透明玫瑰花禮盒 (高質膠)	High Class See through Rose Packaging box, with 1 layer draw for earrings. Great for gifts presentation 	高檔透明玫瑰花禮盒 有一層櫃桶裝耳環送禮一流	Tag18					50	6.4	50	6.4	ACT01	30833031
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833032_1.jpg	30833032_1.jpg	03/07/20 12:00 AM	Korean Big White Flowers pretty Earrings 	韓國大白茶花精緻耳環	Elegant, Pretty, Sweet Big White Flower earrings  	高氣質,時尚,甜美大白茶花耳環	Tag05					30	3.8	30	3.8	ACT01	30833032
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AHHAB	Hair Bands	頭箍	30833033_1.jpg	30833033_1.jpg	03/07/20 12:00 AM	Korean Fashion Stripey Hairband	韓國時尚條紋頭箍			Tag17	Tag05				20	2.6	20	2.6	ACT01	30833033
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833034_1.jpg	30833034_1.jpg	03/07/20 12:00 AM	Heart Shaped Earrings 	心形耳環			Tag05					20	2.6	20	2.6	ACT01	30833034
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AHHAC	Hair Clips	髮夾	30833035_1.jpg	30833035_1.jpg	03/07/20 12:00 AM	Vintage Beige and Black Hair Clip with gold colour logo 	古代小香奶茶色髮夾	8.8 x 1.8 cm	8.8 x 1.8 cm	Tag17	Tag05				80	10.3	80	10.3	ACT01	30833035
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833036_1.jpg	30833036_1.jpg	07/18/20 12:00 AM	S925 needle Korean Big Pearly dingle Earrings 	S925銀針韓國優雅復古珍珠耳環			Tag02					25	3.2	25	3.2	ACT01	30833036
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833037_1.jpg	30833037_1.jpg	07/18/20 12:00 AM	S925 needle Korean Spaceman Big Moon Earrings 	S925銀針宇宙大空人月亮耳環			Tag05					40	5.1	40	5.1	ACT01	30833037
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJNEC	Necklaces	項鍊	30833038_1.jpg	30833038_1.jpg	07/18/20 12:00 AM	Korea Cute Fried Egg Necklace 	愛心大煎蛋項鏈(如圖包鏈) 			Tag05					40	5.1	40	5.1	ACT01	30833038
IPSY 	IPSY 	葉子	ACC01	ProductBasic	飾物	FBWAL	Wallet 	銀包	30833039_1.jpg	30833039_1.jpg	07/18/20 12:00 AM	Waterproof Outer Blue Makeup Wallet pouch 18x12cm	防水藍色18x12cm化妝袋,銀包仔			Tag05					30	3.8	30	3.8	ACT01	30833039
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJNEC	Necklaces	項鍊	30833040_1.jpg	30833040_1.jpg	07/18/20 12:00 AM	Single Flower Clover Cosmos Necklace	靚靚斯文小小四葉花氣質鎖骨項鏈			Tag05					40	5.1	40	5.1	ACT01	30833040
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833041_1.jpg	30833041_1.jpg	07/18/20 12:00 AM	Rainbow colour smiley face flower Earrings 	彩虹花花開心笑耳環			Tag02					25	3.2	25	3.2	ACT01	30833041
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833042_1.jpg	30833042_1.jpg	07/18/20 12:00 AM	Korean Smiley face on pearly white shell Earrings 	韓國開心笑珍珠貝耳環			Tag05					40	5.1	40	5.1	ACT01	30833042
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833043_1.jpg	30833043_1.jpg	07/18/20 12:00 AM	Happy Yellow Flowers Clip On Earrings	開心大向日葵花花耳夾			Tag02	Tag05				20	2.6	20	2.6	ACT01	30833043
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833044_1.jpg	30833044_1.jpg	07/18/20 12:00 AM	Happy Green Flowers Clip On Earrings	開心大綠花耳夾			Tag02	Tag05				20	2.6	20	2.6	ACT01	30833044
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833045_1.jpg	30833045_1.jpg	07/18/20 12:00 AM	Korean white tea flower elegant pearls and crystals Earrings 	韓國白茶花配水晶珍珠氣質仙女耳環			Tag02	Tag05				40	5.1	40	5.1	ACT01	30833045
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833046_1.jpg	30833046_1.jpg	07/18/20 12:00 AM	Korean sweet pink ribbon bunny rabbit Earrings	韓國甜美花朵蝴蝶可愛兔仔耳環			Tag03	Tag05				45	5.8	45	5.8	ACT01	30833046
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AHHAB	Hair Bands	頭箍	30833047_1.jpg	30833047_1.jpg	07/18/20 12:00 AM	Pretty Girl Hair Sticker 	可愛美少女頭髮貼可愛	10 x 6 cm 	10 x 6 cm 	Tag17					5	0.6	5	0.6	ACT01	30833047
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AHHAT	Hair Ties 	頭髮橡筋	30833048_1.jpg	30833048_1.jpg	07/18/20 12:00 AM	Multicolour flower Hair Bobbles 	韓國可愛花花頭髮橡筋	Each pack contains 6 flowery Hair bobbles in multiple colours	每pack 6條不同顔色的橡筋	Tag02	Tag05	Tag17			10	1.3	10	1.3	ACT01	30833048
SCOTI	Scottish Hendoz	蘇格蘭亨多斯	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833049_1.jpg	30833049_1.jpg	07/18/20 12:00 AM	Scottish Hendoz Multi purpose Navy Blue with white dots Crossbody Bag	新款蘇格蘭亨多斯深藍色多用途斜孭包 	19 x 7 x 26 cm , zipped outer pocket, hidden pocket inside. Great for café, supermarket, restaurnat outings. Bag is roomy can easily fit in wallet, umbrella, masks, tissues, handphones and keys. 	19 x 7 x 26 cm ,拉鏈外袋, 內有暗袋買餸食飯休閒可以百搭用可以放好多嘢㗎	Tag07	Tag12				30	3.8	30	3.8	ACT01	30833049
SCOTI	Scottish Hendoz	蘇格蘭亨多斯	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833050_1.jpg	30833050_1.jpg	07/18/20 12:00 AM	Scottish Hendoz Multi purpose Black with pink dots Crossbody Bag	新款蘇格蘭亨多斯黑色多用途斜孭包 	19 x 7 x 26 cm , zipped outer pocket, hidden pocket inside. Great for café, supermarket, restaurnat outings. Bag is roomy can easily fit in wallet, umbrella, masks, tissues, handphones and keys. 	19 x 7 x 26 cm ,拉鏈外袋, 內有暗袋買餸食飯休閒可以百搭用可以放好多嘢㗎	Tag07	Tag12				30	3.8	30	3.8	ACT01	30833050
SCOTI	Scottish Hendoz	蘇格蘭亨多斯	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833051_1.jpg	30833051_1.jpg	07/18/20 12:00 AM	Scottish Hendoz Multi purpose Pink with green dots Crossbody Bag	新款蘇格蘭亨多斯粉紅色多用途斜孭包 	19 x 7 x 26 cm , zipped outer pocket, hidden pocket inside. Great for café, supermarket, restaurnat outings. Bag is roomy can easily fit in wallet, umbrella, masks, tissues, handphones and keys. 	19 x 7 x 26 cm ,拉鏈外袋, 內有暗袋買餸食飯休閒可以百搭用可以放好多嘢㗎	Tag07	Tag12				30	3.8	30	3.8	ACT01	30833051
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833052_1.jpg	30833052_1.jpg	07/18/20 12:00 AM	LBS Brown small Crossbody Bag	新款啡色LBS版休閒斜孭女包	18 x 5 x 13 cm, High quality PU material Bag Weight: 160g  	18 x 5 x 13 cm, 高質PU 重量:160g	Tag07	Tag12				50	6.4	50	6.4	ACT01	30833052
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833029_1.jpg	30833029_1.jpg	02/08/20 12:00 AM	LBS Brown wallet Clip Bag	新款啡色LBS金扣休閒斜孭女包	18.5 x 5.5 x 11 cm , High quality PU material Bag Weight: 130g 	18.5 x 5.5 x 11 cm, 高質PU 重量:130g	Tag07	Tag12				40	5.1	40	5.1	ACT01	30833029
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	FFSLI	Slippers	拖鞋	30833053_1.jpg	30833053_1.jpg	07/18/20 12:00 AM	Korean Cute White Rabbit FlipFlops (EU37) 	韓國可愛兔兔人字拖女室內室外(EU37)	Can wear outdoor or indoor 	室內室外也可以	Tag03	Tag05				35	4.5	35	4.5	ACT01	30833053
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833054_1.jpg	30833054_1.jpg	07/18/20 12:00 AM	Korean Slim Waist Bag Fanny Pack (White) 	韓國多功能胸包	31 x 18.5 x 8.5 cm, Adjustable body strap. Secure clasp fastening. Zip Closure  Material: Polyester 	31 x 18.5 x 8.5 cm, 	Tag08	Tag05	Tag10	Tag11		80	10.3	80	10.3	ACT01	30833054
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	FFSLI	Slippers	拖鞋	30833055_1.jpg	30833055_1.jpg	07/18/20 12:00 AM	White 4cm Platform Slipons	韓國厚底4cm白色女拖鞋 (EU38)	4cm platform, Soft sole 	厚底4cm	Tag09	Tag05				60	7.7	60	7.7	ACT01	30833055
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBBAC	Backpacks	背囊	30833056_1.jpg	30833056_1.jpg	07/18/20 12:00 AM	Unisex Korean Black Sport BackPack	中性韓版黑色運動背包	40 x 14 x 31 cm Can fit A4 size, laptops, water bottles. Multi-purpose bag,  great for Man and Woman 	40 x 14 x 31 cm. 可以容納A4尺寸書，手提電腦，水壺。非常適合男女的多功能袋	Tag08	Tag10	Tag05			100	12.8	100	12.8	ACT01	30833056
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833057_1.jpg	30833057_1.jpg	07/18/20 12:00 AM	Unisex Purple Sporty Student Postman Crossbody Bag	中性紫色運動學生郵差斜孭包	16 x 10 x 25 cm, straps max length :130cm 	16 x 10 x 25 cm, 帶最大長度: 130 cm	Tag08	Tag10				60	7.7	60	7.7	ACT01	30833057
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833058_1.jpg	30833058_1.jpg	07/18/20 12:00 AM	Unisex Black Sporty Student Postman Crossbody Bag	中性黑色運動學生郵差斜孭包	16 x 10 x 25 cm, straps max length :130cm 	16 x 10 x 25 cm, 帶最大長度: 130 cm	Tag08	Tag10				60	7.7	60	7.7	ACT01	30833058
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833059_1.jpg	30833059_1.jpg	07/18/20 12:00 AM	Black with White Text Bump Bag (Mens) 	黑底白字男多功能胸包	40 x 20 x 19 cm, Material: Nylon	40 x 20 x 19 cm, 尼龍	Tag10	Tag08	Tag11			80	10.3	80	10.3	ACT01	30833059
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833060_1.jpg	30833060_1.jpg	07/18/20 12:00 AM	Black with Gold Text Bump Bag (Mens) 	黑底金字男多功能胸包	40 x 20 x 19 cm, Material: Nylon 	40 x 20 x 19 cm, 尼龍	Tag10	Tag08	Tag11			80	10.3	80	10.3	ACT01	30833060
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBBAC	Backpacks	背囊	30833061_1.jpg	30833061_1.jpg	07/18/20 12:00 AM	Multi purpose Black checkered patten BackPack	多用途黑色格紋背囊	36 x 14 x 26 cm, Material: Oxford	36 x 14 x 26 cm, 牛津布	Tag12	Tag12				100	12.8	100	12.8	ACT01	30833061
